athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place
Ana Marcela Cunha,BRA,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3472.9,1.0
Aurelie Muller,FRA,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3473.8,2.0
Giulia Gabbrielleschi,ITA,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3474.9,3.0
Leonie Beck,GER,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3476.2,4.0
Maria De Valdes,ESP,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3479.0,5.0
Ginevra Taddeucci,ITA,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3480.4,6.0
Viviane Jungblut,BRA,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3480.5,7.0
Moesha Johnson,AUS,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3482.5,8.0
Jeannette Spiwoks,GER,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3486.2,9.0
Sharon Van Rouwendaal,NED,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3488.9,10.0
Airi Ebina,JPN,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3600.0,11.0
Summer Smith,USA,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3602.2,12.0
Yukimi Moriyama,JPN,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3603.7,13.0
Angela Martinez Guillen,ESP,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3649.5,14.0
Reka Rohacs,HUN,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3651.5,15.0
Tsz Yin Nip,HKG,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3651.6,16.0
Eva Fabian,ISR,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3654.4,17.0
Catherine Francis Van Rensburg,RSA,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3655.6,18.0
Lenka Sterbova,CZE,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3657.1,19.0
Anna Auld,USA,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3657.2,20.0
Narin Burcunaz,TUR,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3657.4,21.0
Xiaoming Ma,CHN,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3659.0,22.0
Spela Perse,SLO,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3659.1,23.0
Vivien Balogh,HUN,06/27/2022,FINA World Championships,"Budapest, HUN",5.0,NW,Neutral,55.0,3659.2,24.0
